budget,n,cplex_feasible,cplex_optimal,cplex_gap,tabu_gap,tabu_better
0.1,10,5,5,0.0,0.0,0
0.1,20,5,0,162.39987882680504,0.0,5
0.1,30,5,0,209.2789926279539,0.0,5
0.1,40,5,0,282.03320610387806,0.0,5
0.1,50,5,0,359.1248099212454,0.0,5
0.1,60,5,0,419.77566658376344,0.0043569035664319244,5
0.1,70,5,0,443.3300971776522,0.07436978993682741,5
0.1,80,5,0,460.7852297912726,0.18276890738008067,5
0.1,90,5,0,517.123477964579,0.1460733968311736,5
0.1,100,5,0,574.9851174634794,0.522859686022835,5
1.0,10,5,5,0.0,0.0,0
1.0,20,5,5,0.0,0.0,0
1.0,30,5,2,0.5283967539726397,0.0,2
1.0,40,5,2,11.687914388711107,0.0,3
1.0,50,5,1,156.98742370498317,0.0,4
1.0,60,5,0,419.77566658376344,0.0,5
1.0,70,5,0,443.3300971776522,0.0,5
1.0,80,5,0,460.7852297912726,0.00030039092541223056,5
1.0,90,5,0,517.123477964579,0.0,5
1.0,100,5,0,574.9851174634794,0.053809462606213554,5
10.0,10,5,5,0.0,0.0,0
10.0,20,5,5,0.0,0.0,0
10.0,30,5,5,0.0,0.0,0
10.0,40,5,5,0.0,0.0,0
10.0,50,5,3,13.319020081065782,0.0,2
10.0,60,5,1,43.18153005751232,0.0,4
10.0,70,5,1,21.46477483887213,0.0,3
10.0,80,5,0,285.98223889173335,0.0,5
10.0,90,5,0,517.123477964579,0.0,5
10.0,100,5,0,574.9851174634794,0.023295493333230333,5
