config,instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
kick1,calib_n100_2,100,5,nn,12,100,1,1000,954.385,767.092,50000,33792,499,0.619062,0.908526
kick1,calib_n30_1,30,1,nn,5,30,1,1000,479.789,426.328,50000,13,1666,4.3984e-05,0.0842317
kick1,calib_n30_1,30,2,nn,5,30,1,1000,534.036,426.328,50000,7,1666,3.4256e-05,0.0883302
kick1,calib_n30_1,30,3,nn,5,30,1,1000,568.188,426.328,50000,11,1666,4.157e-05,0.10341
kick1,calib_n30_1,30,4,nn,5,30,1,1000,533.271,426.328,50000,42,1666,0.000106445,0.0980311
kick1,calib_n30_1,30,5,nn,5,30,1,1000,539.717,426.328,50000,7,1666,3.1851e-05,0.0777097
kick1,calib_n30_2,30,1,nn,5,30,1,1000,518.314,447.548,50000,1312,1665,0.00250146,0.0794233
kick1,calib_n30_2,30,2,nn,5,30,1,1000,533.841,447.548,50000,255,1666,0.00194472,0.0895712
kick1,calib_n30_2,30,3,nn,5,30,1,1000,583.304,447.548,50000,785,1665,0.00131495,0.084119
kick1,calib_n30_2,30,4,nn,5,30,1,1000,590.283,447.548,50000,9,1666,3.5769e-05,0.085192
kick1,calib_n30_2,30,5,nn,5,30,1,1000,608.714,447.548,50000,15,1666,4.9355e-05,0.0834743
kick1,calib_n50_1,50,1,nn,6,50,1,1000,653.039,550.734,50000,85,999,0.000422295,0.221776
kick1,calib_n50_1,50,2,nn,6,50,1,1000,639.744,550.734,50000,66,999,0.000327232,0.224046
kick1,calib_n50_1,50,3,nn,6,50,1,1000,659.377,550.734,50000,1535,998,0.00668994,0.22165
kick1,calib_n50_1,50,4,nn,6,50,1,1000,687.78,550.734,50000,9,999,7.9423e-05,0.215924
kick1,calib_n50_1,50,5,nn,6,50,1,1000,699.886,550.734,50000,15,999,0.000106355,0.222013
kick1,calib_n50_2,50,1,nn,6,50,1,1000,685.943,590.914,50000,4694,998,0.0201776,0.213988
kick1,calib_n50_2,50,2,nn,6,50,1,1000,749.45,590.914,50000,4641,999,0.0219918,0.221442
kick1,calib_n50_2,50,3,nn,6,50,1,1000,765.949,590.914,50000,15104,998,0.0653828,0.21906
kick1,calib_n50_2,50,4,nn,6,50,1,1000,730.848,590.914,50000,42210,997,0.19196,0.226054
kick1,calib_n50_2,50,5,nn,6,50,1,1000,777.571,590.914,50000,6632,998,0.0312387,0.229809
kick1,calib_n70_1,70,1,nn,8,70,1,1000,773.892,638.962,50000,2091,713,0.0182556,0.444411
kick1,calib_n70_1,70,2,nn,8,70,1,1000,737.485,638.962,50000,1391,713,0.0121662,0.449163
kick1,calib_n70_1,70,3,nn,8,70,1,1000,832.582,638.962,50000,2883,713,0.0254484,0.447859
kick1,calib_n70_1,70,4,nn,8,70,1,1000,808.48,638.962,50000,1442,713,0.0126648,0.440734
kick1,calib_n70_1,70,5,nn,8,70,1,1000,741.91,638.962,50000,2158,712,0.0195474,0.439789
kick1,calib_n70_2,70,1,nn,8,70,1,1000,779.269,656.37,50000,7653,712,0.0670632,0.447566
kick1,calib_n70_2,70,2,nn,8,70,1,1000,766.936,660.171,50000,1798,713,0.0157194,0.375199
kick1,calib_n70_2,70,3,nn,8,70,1,1000,781.374,660.171,50000,4356,713,0.0329546,0.464533
kick1,calib_n70_2,70,4,nn,8,70,1,1000,737.249,660.171,50000,8885,713,0.0776394,0.453196
kick1,calib_n70_2,70,5,nn,8,70,1,1000,786.138,660.171,50000,297,714,0.0026401,0.434892
kick3,calib_n100_1,100,1,nn,12,100,3,1000,985.693,743.104,50000,31518,495,0.556208,0.88098
kick3,calib_n100_1,100,2,nn,12,100,3,1000,960.815,743.104,50000,18700,498,0.33357,0.953766
kick3,calib_n100_1,100,3,nn,12,100,3,1000,900.617,749.21,50000,7235,497,0.153783,0.90514
kick3,calib_n100_1,100,4,nn,12,100,3,1000,883.571,743.104,50000,10099,497,0.200213,0.946571
kick3,calib_n100_1,100,5,nn,12,100,3,1000,918.387,743.104,50000,11662,498,0.181875,0.83241
kick3,calib_n100_2,100,1,nn,12,100,3,1000,955.549,767.092,50000,7735,498,0.12635,0.886281
kick3,calib_n100_2,100,2,nn,12,100,3,1000,909.951,763.385,50000,3222,498,0.0591093,0.870984
kick3,calib_n100_2,100,3,nn,12,100,3,1000,963.367,763.385,50000,8437,497,0.156241,0.948065
kick3,calib_n100_2,100,4,nn,12,100,3,1000,950.285,763.385,50000,45175,497,0.833035,0.926803
kick3,calib_n100_2,100,5,nn,12,100,3,1000,954.385,767.092,50000,41266,498,0.765154,0.92329
kick3,calib_n30_1,30,1,nn,5,30,3,1000,479.789,426.328,50000,13,1666,4.3564e-05,0.0871229
kick3,calib_n30_1,30,2,nn,5,30,3,1000,534.036,426.328,50000,7,1666,3.5979e-05,0.0887395
kick3,calib_n30_1,30,3,nn,5,30,3,1000,568.188,426.328,50000,11,1666,4.1951e-05,0.0819694
kick3,calib_n30_1,30,4,nn,5,30,3,1000,533.271,426.328,50000,128,1665,0.000213291,0.0710595
kick3,calib_n30_1,30,5,nn,5,30,3,1000,539.717,426.328,50000,7,1666,2.6001e-05,0.0671435
kick3,calib_n30_2,30,1,nn,5,30,3,1000,518.314,447.548,50000,176,1665,0.000260793,0.0711012
kick3,calib_n30_2,30,2,nn,5,30,3,1000,533.841,447.548,50000,118,1665,0.000221537,0.0762006
kick3,calib_n30_2,30,3,nn,5,30,3,1000,583.304,447.548,50000,269,1665,0.000685993,0.0746973
kick3,calib_n30_2,30,4,nn,5,30,3,1000,590.283,447.548,50000,9,1666,5.209e-05,0.0880411
kick3,calib_n30_2,30,5,nn,5,30,3,1000,608.714,447.548,50000,15,1666,5.7451e-05,0.0856582
kick3,calib_n50_1,50,1,nn,6,50,3,1000,653.039,550.734,50000,986,997,0.00473343,0.222545
kick3,calib_n50_1,50,2,nn,6,50,3,1000,639.744,550.734,50000,73,999,0.000360726,0.223915
kick3,calib_n50_1,50,3,nn,6,50,3,1000,659.377,550.734,50000,1113,998,0.00488183,0.225053
