instance,n,time_limit,status,optimal,has_sol,obj,bound,gap,nodes,cols,rows,build_s,solve_s,tour_ok
tsp_n10_1,10,60,"integer optimal solution",1,1,235.296,235.296,0,0,171,110,0.00546829,0.10096,1
tsp_n10_2,10,60,"integer optimal solution",1,1,265.199,265.199,0,0,171,110,0.000334926,0.0819016,1
tsp_n10_3,10,60,"integer optimal solution",1,1,301.126,301.126,0,0,171,110,0.000331529,0.0221581,1
tsp_n10_4,10,60,"integer optimal solution",1,1,274.453,274.453,0,0,171,110,0.000284519,0.0459324,1
tsp_n10_5,10,60,"integer optimal solution",1,1,275.203,275.203,0,0,171,110,0.000296872,0.0817647,1
tsp_n20_1,20,60,"integer optimal solution",1,1,419.657,419.657,0,0,741,420,0.000601189,0.610251,1
tsp_n20_2,20,60,"integer optimal solution",1,1,442.466,442.466,0,124,741,420,0.000657097,0.547916,1
tsp_n20_3,20,60,"integer optimal solution",1,1,340.585,340.585,0,0,741,420,0.00046172,0.283699,1
tsp_n20_4,20,60,"integer optimal solution",1,1,345.625,345.625,0,0,741,420,0.000525303,0.202764,1
tsp_n20_5,20,60,"integer optimal solution",1,1,418.545,418.545,0,0,741,420,0.000538628,1.0058,1
tsp_n30_1,30,60,"integer optimal solution",1,1,469.382,469.382,0,127,1711,930,0.00147513,2.50504,1
tsp_n30_2,30,60,"integer optimal solution",1,1,473.627,473.627,0,234,1711,930,0.0013439,2.54287,1
tsp_n30_3,30,60,"integer optimal solution",1,1,414.261,414.261,0,0,1711,930,0.00144627,0.537894,1
tsp_n30_4,30,60,"integer optimal solution",1,1,439.145,439.145,0,17,1711,930,0.00131458,2.73055,1
tsp_n30_5,30,60,"integer optimal solution",1,1,460.021,460.021,0,0,1711,930,0.00131371,0.913624,1
tsp_n40_1,40,60,"integer optimal solution",1,1,532.855,532.855,0,0,3081,1640,0.00240593,0.601878,1
tsp_n40_2,40,60,"integer optimal solution",1,1,526.401,526.401,0,0,3081,1640,0.00225959,3.17223,1
tsp_n40_3,40,60,"integer optimal solution",1,1,552.854,552.854,0,34,3081,1640,0.0023662,4.24056,1
tsp_n40_4,40,60,"integer optimal solution",1,1,499.918,499.918,0,44,3081,1640,0.00321224,4.01889,1
tsp_n40_5,40,60,"integer optimal solution",1,1,516.876,516.876,0,0,3081,1640,0.00230451,0.799527,1
tsp_n50_1,50,60,"integer optimal solution",1,1,554.786,554.786,0,23,4851,2550,0.00489865,6.41509,1
tsp_n50_2,50,60,"integer optimal solution",1,1,554.522,554.522,0,593,4851,2550,0.00371735,32.945,1
tsp_n50_3,50,60,"integer optimal solution",1,1,571.892,571.892,0,23,4851,2550,0.00352559,3.11887,1
tsp_n50_4,50,60,"integer optimal solution",1,1,614.12,614.12,0,12,4851,2550,0.00350588,1.82198,1
tsp_n50_5,50,60,"integer optimal solution",1,1,585.158,585.158,0,538,4851,2550,0.00566144,27.7857,1
tsp_n60_1,60,60,"integer optimal solution",1,1,593.45,593.45,0,736,7021,3660,0.00517478,40.7419,1
tsp_n60_2,60,60,"integer optimal solution",1,1,646.976,646.976,0,505,7021,3660,0.00282588,32.5057,1
tsp_n60_3,60,60,"integer optimal solution",1,1,588.516,588.516,0,505,7021,3660,0.00775225,52.6527,1
tsp_n60_4,60,60,"integer optimal solution",1,1,630.4,630.4,0,0,7021,3660,0.00541005,3.45569,1
tsp_n60_5,60,60,"integer optimal solution",1,1,606.853,606.853,0,776,7021,3660,0.00557917,47.3573,1
tsp_n70_1,70,60,"integer optimal solution",1,1,655.214,655.214,0,1448,9591,4970,0.00730859,30.8991,1
tsp_n70_2,70,60,"integer optimal solution",1,1,656.603,656.603,0,1435,9591,4970,0.00477466,56.6034,1
tsp_n70_3,70,60,"time limit exceeded",0,1,1235.31,649.47,0.474246,299,9591,4970,0.00755684,60.0072,1
tsp_n70_4,70,60,"integer optimal solution",1,1,636.85,636.85,0,1186,9591,4970,0.00754877,17.2277,1
tsp_n70_5,70,60,"integer optimal solution",1,1,660.445,660.445,0,25,9591,4970,0.0072863,8.7357,1
tsp_n80_1,80,60,"integer optimal solution",1,1,697.516,697.516,0,549,12561,6480,0.0108931,51.3384,1
tsp_n80_2,80,60,"time limit exceeded",0,1,742.551,698.285,0.0596138,508,12561,6480,0.00394907,60.005,1
tsp_n80_3,80,60,"integer optimal solution",1,1,719.063,719.063,0,1878,12561,6480,0.00407863,52.2619,1
tsp_n80_4,80,60,"time limit exceeded",0,1,785.44,702.234,0.105935,470,12561,6480,0.004279,60.003,1
tsp_n80_5,80,60,"time limit exceeded",0,1,721.228,660.058,0.084813,470,12561,6480,0.00436944,60.0012,1
tsp_n90_1,90,60,"time limit exceeded",0,1,773.218,722.338,0.0658029,951,15931,8190,0.00545736,60.0052,1
tsp_n90_2,90,60,"integer optimal solution",1,1,698.131,698.131,0,515,15931,8190,0.00515306,45.9768,1
tsp_n90_3,90,60,"time limit exceeded",0,1,872.361,737.41,0.154697,515,15931,8190,0.00849686,60.002,1
tsp_n90_4,90,60,"integer optimal solution",1,1,756.889,756.889,0,515,15931,8190,0.00579336,53.7499,1
tsp_n90_5,90,60,"time limit exceeded",0,1,1084.93,729.508,0.3276,515,15931,8190,0.00499941,60.0095,1
tsp_n100_1,100,60,"time limit exceeded",0,1,833.81,775.213,0.0702752,457,19701,10100,0.00639697,60.0056,1
tsp_n100_2,100,60,"time limit exceeded",0,1,892.536,787.247,0.117966,480,19701,10100,0.00574761,60.005,1
tsp_n100_3,100,60,"time limit exceeded",0,1,800.918,767.035,0.0423053,480,19701,10100,0.00564081,60.0091,1
tsp_n100_4,100,60,"time limit exceeded",0,1,761.437,751.884,0.0125459,480,19701,10100,0.00579191,60.005,1
tsp_n100_5,100,60,"time limit exceeded",0,1,807.408,750.346,0.0706726,480,19701,10100,0.00637172,60.0014,1
