instance,n,time_limit,status,optimal,has_sol,obj,bound,gap,nodes,cols,rows,build_s,solve_s,tour_ok
tsp_n10_1,10,10,"integer optimal solution",1,1,235.296,235.296,0,0,171,110,0.00549126,0.101495,1
tsp_n10_2,10,10,"integer optimal solution",1,1,265.199,265.199,0,0,171,110,0.0003318,0.0842459,1
tsp_n10_3,10,10,"integer optimal solution",1,1,301.126,301.126,0,0,171,110,0.000218742,0.0261887,1
tsp_n10_4,10,10,"integer optimal solution",1,1,274.453,274.453,0,0,171,110,0.000246786,0.0443175,1
tsp_n10_5,10,10,"integer optimal solution",1,1,275.203,275.203,0,0,171,110,0.000308475,0.0826312,1
tsp_n20_1,20,10,"integer optimal solution",1,1,419.657,419.657,0,0,741,420,0.000614635,0.617956,1
tsp_n20_2,20,10,"integer optimal solution",1,1,442.466,442.466,0,124,741,420,0.000722053,0.527474,1
tsp_n20_3,20,10,"integer optimal solution",1,1,340.585,340.585,0,0,741,420,0.000721903,0.274844,1
tsp_n20_4,20,10,"integer optimal solution",1,1,345.625,345.625,0,0,741,420,0.000862985,0.194111,1
tsp_n20_5,20,10,"integer optimal solution",1,1,418.545,418.545,0,0,741,420,0.000602351,0.992899,1
tsp_n30_1,30,10,"integer optimal solution",1,1,469.382,469.382,0,127,1711,930,0.00129606,2.57558,1
tsp_n30_2,30,10,"integer optimal solution",1,1,473.627,473.627,0,234,1711,930,0.00133246,2.49754,1
tsp_n30_3,30,10,"integer optimal solution",1,1,414.261,414.261,0,0,1711,930,0.00132192,0.538948,1
tsp_n30_4,30,10,"integer optimal solution",1,1,439.145,439.145,0,17,1711,930,0.00137826,2.75703,1
tsp_n30_5,30,10,"integer optimal solution",1,1,460.021,460.021,0,0,1711,930,0.00129861,0.879075,1
tsp_n40_1,40,10,"integer optimal solution",1,1,532.855,532.855,0,0,3081,1640,0.00219418,0.598184,1
tsp_n40_2,40,10,"integer optimal solution",1,1,526.401,526.401,0,0,3081,1640,0.00235543,3.24794,1
tsp_n40_3,40,10,"integer optimal solution",1,1,552.854,552.854,0,34,3081,1640,0.00214773,4.30062,1
tsp_n40_4,40,10,"integer optimal solution",1,1,499.918,499.918,0,44,3081,1640,0.00239629,4.05336,1
tsp_n40_5,40,10,"integer optimal solution",1,1,516.876,516.876,0,0,3081,1640,0.00235311,0.77425,1
tsp_n50_1,50,10,"integer optimal solution",1,1,554.786,554.786,0,23,4851,2550,0.00380196,6.41485,1
tsp_n50_2,50,10,"time limit exceeded",0,1,640.201,531.565,0.16969,233,4851,2550,0.00266622,10.0011,1
tsp_n50_3,50,10,"integer optimal solution",1,1,571.892,571.892,0,23,4851,2550,0.0041987,3.02234,1
tsp_n50_4,50,10,"integer optimal solution",1,1,614.12,614.12,0,12,4851,2550,0.00365986,1.80604,1
tsp_n50_5,50,10,"time limit exceeded",0,1,884.432,560.718,0.366013,165,4851,2550,0.00372624,10.002,1
tsp_n60_1,60,10,"time limit exceeded",0,1,1526.79,586.826,0.615648,0,7021,3660,0.00527982,10.0079,1
tsp_n60_2,60,10,"time limit exceeded",0,1,770.611,636.795,0.173649,31,7021,3660,0.00554202,10.0015,1
tsp_n60_3,60,10,"time limit exceeded",0,1,746.647,563.6,0.245159,72,7021,3660,0.00627423,10.0061,1
tsp_n60_4,60,10,"integer optimal solution",1,1,630.4,630.4,0,0,7021,3660,0.00718823,3.50902,1
tsp_n60_5,60,10,"time limit exceeded",0,1,683.65,582.998,0.147228,66,7021,3660,0.0069819,10.0024,1
tsp_n70_1,70,10,"time limit exceeded",0,1,677.564,640.86,0.0541713,0,9591,4970,0.00764828,10.0019,1
tsp_n70_2,70,10,"time limit exceeded",0,1,786.924,642.985,0.182914,0,9591,4970,0.00710377,10.002,1
tsp_n70_3,70,10,"time limit exceeded",0,1,1235.31,649.47,0.474246,0,9591,4970,0.00766962,10.001,1
tsp_n70_4,70,10,"time limit exceeded",0,1,636.85,636.798,8.11403e-05,1182,9591,4970,0.00777571,10.0037,1
tsp_n70_5,70,10,"integer optimal solution",1,1,660.445,660.445,0,25,9591,4970,0.00531041,4.65038,1
tsp_n80_1,80,10,"time limit exceeded",0,1,892.783,670.294,0.249209,12,12561,6480,0.00457258,10.005,1
tsp_n80_2,80,10,"time limit exceeded",0,1,1314.18,682.176,0.480911,0,12561,6480,0.0047663,10.0053,1
tsp_n80_3,80,10,"time limit exceeded",0,1,3791.63,699.12,0.815615,0,12561,6480,0.00917875,10.0111,1
tsp_n80_4,80,10,"time limit exceeded",0,1,4091.19,664.657,0.83754,0,12561,6480,0.0104075,10.0114,1
tsp_n80_5,80,10,"time limit exceeded",0,1,3425.95,648.579,0.810687,0,12561,6480,0.00900423,10.0112,1
tsp_n90_1,90,10,"time limit exceeded",0,1,4840.5,694.252,0.856574,0,15931,8190,0.0130611,10.0057,1
tsp_n90_2,90,10,"time limit exceeded",0,1,3987.68,606.58,0.847886,0,15931,8190,0.0128614,10.0051,1
